Date,Incidence
5/15/2020,1288
5/16/2020,798
5/17/2020,609
5/18/2020,903
5/19/2020,630
5/20/2020,1155
5/21/2020,819
5/22/2020,1939
5/23/2020,784
5/24/2020,1463
5/25/2020,280
5/26/2020,728
5/27/2020,1246
5/28/2020,2079
5/29/2020,2009
5/30/2020,2009
5/31/2020,1603
6/1/2020,1120
6/2/2020,1764
6/3/2020,1932
6/4/2020,2254
6/5/2020,3318
6/6/2020,1729
6/7/2020,1715
6/8/2020,812
6/9/2020,1463
6/10/2020,3094
6/11/2020,4207
6/12/2020,3430
6/13/2020,3178
6/14/2020,1841
6/15/2020,1904
6/16/2020,1659
6/17/2020,2940
6/18/2020,4473
6/19/2020,3584
6/20/2020,3192
6/21/2020,2660
6/22/2020,1680
6/23/2020,3164
6/24/2020,3542
6/25/2020,4011
6/26/2020,4494
6/27/2020,3766
6/28/2020,3353
6/29/2020,3318
6/30/2020,4459
7/1/2020,3598
7/2/2020,6062
7/3/2020,4053
7/4/2020,3066
7/5/2020,4326
7/6/2020,3185
7/7/2020,2688
7/8/2020,4375
7/9/2020,5327
7/10/2020,6440
7/11/2020,5047
7/12/2020,4207
7/13/2020,4914
7/14/2020,3836
7/15/2020,5824
7/16/2020,4298
7/17/2020,5404
7/18/2020,4620
7/19/2020,2947
7/20/2020,3311
7/21/2020,4109
7/22/2020,4557
7/23/2020,4494
7/24/2020,4557
7/25/2020,3479
7/26/2020,3080
7/27/2020,3241
7/28/2020,3220
7/29/2020,4914
7/30/2020,3976
7/31/2020,3101
8/1/2020,2751
8/2/2020,2331
8/3/2020,4522
8/4/2020,2800
8/5/2020,4235
8/6/2020,3206
8/7/2020,3528
8/8/2020,2520
8/9/2020,1162
8/10/2020,2394
8/11/2020,2632
8/12/2020,3976
8/13/2020,2597
8/14/2020,2681
8/15/2020,2667
8/16/2020,812
8/17/2020,2653
8/18/2020,2415
8/19/2020,3556
8/20/2020,3878
8/21/2020,3283
8/22/2020,2765
8/23/2020,2331
8/24/2020,2660
8/25/2020,1995
8/26/2020,3899
8/27/2020,2072
8/28/2020,4746
8/29/2020,1225
8/30/2020,2289
8/31/2020,3948
9/1/2020,2233
9/2/2020,3017
9/3/2020,3479
9/4/2020,1904
9/5/2020,1883
9/6/2020,1869
9/7/2020,1260
9/8/2020,2429
9/9/2020,1960
9/10/2020,2415
9/11/2020,2695
9/12/2020,1981
9/13/2020,1547
9/14/2020,2450
9/15/2020,2317
9/16/2020,2597
9/17/2020,3122
9/18/2020,1883
9/19/2020,2170
9/20/2020,1435
9/21/2020,2373
9/22/2020,1827
9/23/2020,2947
9/24/2020,1029
9/25/2020,3234
9/26/2020,2338
9/27/2020,1638
9/28/2020,1421
9/29/2020,2744
9/30/2020,4032
10/1/2020,2793
10/2/2020,4179
10/3/2020,707
10/4/2020,3479
10/5/2020,2527
10/6/2020,3031
10/7/2020,3619
10/8/2020,3150
10/9/2020,3864
10/10/2020,2149
10/11/2020,2688
10/12/2020,3304
10/13/2020,3066
10/14/2020,4319
10/15/2020,4494
10/16/2020,3227
10/17/2020,4277
10/18/2020,2233
10/19/2020,3689
10/20/2020,3934
10/21/2020,3633
10/22/2020,2506
10/23/2020,5425
10/24/2020,2954
10/25/2020,2961
10/26/2020,4298
10/27/2020,4074
10/28/2020,4088
10/29/2020,4872
10/30/2020,5628
10/31/2020,3794
11/1/2020,3178
11/2/2020,4389
11/3/2020,4634
11/4/2020,4340
11/5/2020,4431
11/6/2020,5075
11/7/2020,3654
11/8/2020,2863
11/9/2020,6006
11/10/2020,5509
11/11/2020,4697
11/12/2020,3864
11/13/2020,6867
11/14/2020,5999
11/15/2020,3976
11/16/2020,6188
11/17/2020,6055
11/18/2020,6608
11/19/2020,6258
11/20/2020,5803
11/21/2020,9401
11/22/2020,5411
11/23/2020,5831
11/24/2020,7182
11/25/2020,7014
11/26/2020,6566
11/27/2020,7168
11/28/2020,6895
11/29/2020,6776
11/30/2020,6160
12/1/2020,8470
12/2/2020,9926
12/3/2020,11193
12/4/2020,10808
12/5/2020,13300
